date,name,Cases,Case Rate,population
"D0506",City of Agoura Hills,31,148.45,20883
"D0506",City of Alhambra,106,122.23,86724
"D0506",City of Arcadia,50,86.57,57754
"D0506",City of Artesia,15,89.31,16795
"D0506",City of Avalon,0,0,3869
"D0506",City of Azusa,96,191.85,50040
"D0506",City of Baldwin Park,126,164.13,76769
"D0506",City of Bell,144,396.34,36332
"D0506",City of Bell Gardens,125,290.22,43071
"D0506",City of Bellflower,162,208.4,77735
"D0506",City of Beverly Hills,115,333.14,34520
"D0506",City of Bradbury,1,93.55,1069
"D0506",City of Burbank,288,268.71,107180
"D0506",City of Calabasas,47,193.23,24323
"D0506",City of Carson,283,301.56,93846
"D0506",City of Cerritos,63,125.83,50067
"D0506",City of Claremont,27,74.01,36484
"D0506",City of Commerce,14,107.12,13069
"D0506",City of Compton,260,260.25,99904
"D0506",City of Covina,104,212.11,49032
"D0506",City of Cudahy,93,381.98,24347
"D0506",City of Culver City,90,225.76,39865
"D0506",City of Diamond Bar,39,67.81,57515
"D0506",City of Downey,264,231.05,114263
"D0506",City of Duarte,81,367.91,22016
"D0506",City of El Monte,209,178.22,117269
"D0506",City of El Segundo,30,178.72,16786
"D0506",City of Gardena,177,288.7,61310
"D0506",City of Glendale,687,332.7,206493
"D0506",City of Glendora,63,119.4,52764
"D0506",City of Hawaiian Gardens,11,74.95,14676
"D0506",City of Hawthorne,235,264.68,88787
"D0506",City of Hermosa Beach,25,127.1,19670
"D0506",City of Hidden Hills,0,0,1890
"D0506",City of Huntington Park,182,305.96,59484
"D0506",City of Industry,4,915.33,437
"D0506",City of Inglewood,408,359.21,113582
"D0506",City of Irwindale,2,137.08,1459
"D0506",City of La Canada Flintridge,41,198.13,20693
"D0506",City of La Habra Heights,4,73.33,5455
"D0506",City of La Mirada,73,147.18,49599
"D0506",City of La Puente,46,113.03,40697
"D0506",City of La Verne,18,54.08,33282
"D0506",City of Lakewood,95,118.22,80362
"D0506",City of Lancaster,387,239.52,161570
"D0506",City of Lawndale,75,223.12,33614
"D0506",City of Lomita,40,192.97,20729
"D0506",City of Lynwood,240,333.12,72047
"D0506",City of Malibu,31,239.18,12961
"D0506",City of Manhattan Beach,68,188.89,35999
"D0506",City of Maywood,81,288.78,28049
"D0506",City of Monrovia,74,190.72,38800
"D0506",City of Montebello,175,271.84,64375
"D0506",City of Monterey Park,95,152.58,62262
"D0506",City of Norwalk,230,213.71,107622
"D0506",City of Palmdale,486,305.72,158968
"D0506",City of Palos Verdes Estates,40,295.81,13522
"D0506",City of Paramount,170,303.45,56023
"D0506",City of Pico Rivera,241,374.9,64284
"D0506",City of Pomona,232,148.78,155931
"D0506",City of Rancho Palos Verdes,74,173.11,42747
"D0506",City of Redondo Beach,116,168.86,68697
"D0506",City of Rolling Hills,2,103.09,1940
"D0506",City of Rolling Hills Estates,13,160.24,8113
"D0506",City of Rosemead,47,84.91,55350
"D0506",City of San Dimas,31,89.81,34516
"D0506",City of San Fernando,123,499.76,24612
"D0506",City of San Gabriel,42,102.55,40954
"D0506",City of San Marino,12,90.38,13277
"D0506",City of Santa Clarita,462,209.6,220424
"D0506",City of Santa Fe Springs,31,168.81,18364
"D0506",City of Santa Monica,203,219.59,92446
"D0506",City of Sierra Madre,5,45.5,10989
"D0506",City of Signal Hill,9,76.29,11797
"D0506",City of South El Monte,38,181.95,20885
"D0506",City of South Gate,300,305.64,98155
"D0506",City of South Pasadena,100,383.83,26053
"D0506",City of Temple City,63,172.82,36455
"D0506",City of Torrance,308,206.34,149268
"D0506",City of Vernon,1,478.47,209
"D0506",City of Walnut,25,81.88,30532
"D0506",City of West Covina,158,145.98,108235
"D0506",City of West Hollywood,142,384.29,36951
"D0506",City of Westlake Village,6,71.77,8360
"D0506",City of Whittier,162,185.29,87432
"D0506",Los Angeles,14253,352.4
"D0506",Los Angeles - Adams-Normandie,32,390.15,8202
"D0506",Los Angeles - Alsace,33,265.17,12445
"D0506",Los Angeles - Angeles National Forest,0,0,40
