date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0831",City of Agoura Hills,150,718,2,10,20883
"D0831",City of Alhambra,1144,1319,24,28,86724
"D0831",City of Arcadia,444,769,32,55,57754
"D0831",City of Artesia,302,1798,5,30,16795
"D0831",City of Avalon,5,129,0,0,3869
"D0831",City of Azusa,1412,2822,18,36,50040
"D0831",City of Baldwin Park,2637,3435,76,99,76769
"D0831",City of Bell,1440,3963,37,102,36332
"D0831",City of Bell Gardens,1766,4100,21,49,43071
"D0831",City of Bellflower,2197,2826,57,73,77735
"D0831",City of Beverly Hills,613,1776,11,32,34520
"D0831",City of Bradbury,13,1216,0,0,1069
"D0831",City of Burbank,1322,1233,57,53,107180
"D0831",City of Calabasas,235,966,12,49,24323
"D0831",City of Carson,1701,1813,51,54,93846
"D0831",City of Cerritos,522,1043,13,26,50067
"D0831",City of Claremont,347,951,10,27,36484
"D0831",City of Commerce,530,4055,10,77,13069
"D0831",City of Compton,3690,3694,57,57,99904
"D0831",City of Covina,1248,2545,26,53,49032
"D0831",City of Cudahy,1017,4177,15,62,24347
"D0831",City of Culver City,372,933,29,73,39865
"D0831",City of Diamond Bar,498,866,8,14,57515
"D0831",City of Downey,3716,3252,79,69,114263
"D0831",City of Duarte,480,2180,25,114,22016
"D0831",City of El Monte,4029,3436,135,115,117269
"D0831",City of El Segundo,122,727,1,6,16786
"D0831",City of Gardena,1140,1859,41,67,61310
"D0831",City of Glendale,3131,1516,162,78,206493
"D0831",City of Glendora,1153,2185,63,119,52764
"D0831",City of Hawaiian Gardens,488,3325,2,14,14676
"D0831",City of Hawthorne,1820,2050,40,45,88787
"D0831",City of Hermosa Beach,191,971,4,20,19670
"D0831",City of Hidden Hills,7,370,0,0,1890
"D0831",City of Huntington Park,2636,4431,43,72,59484
"D0831",City of Industry,30,6865,2,458,437
"D0831",City of Inglewood,2646,2330,83,73,113582
"D0831",City of Irwindale,66,4524,2,137,1459
"D0831",City of La Canada Flintridge,164,793,7,34,20693
"D0831",City of La Habra Heights,37,678,0,0,5455
"D0831",City of La Mirada,780,1573,25,50,49599
"D0831",City of La Puente,1398,3435,16,39,40697
"D0831",City of La Verne,420,1262,10,30,33282
"D0831",City of Lakewood,1162,1446,12,15,80362
"D0831",City of Lancaster,2946,1823,40,25,161570
"D0831",City of Lawndale,582,1731,10,30,33614
"D0831",City of Lomita,227,1095,8,39,20729
"D0831",City of Lynwood,2969,4121,89,124,72047
"D0831",City of Malibu,95,733,3,23,12961
"D0831",City of Manhattan Beach,315,875,5,14,35999
"D0831",City of Maywood,1325,4724,31,111,28049
"D0831",City of Monrovia,688,1773,37,95,38800
"D0831",City of Montebello,2090,3247,42,65,64375
"D0831",City of Monterey Park,890,1429,42,67,62262
"D0831",City of Norwalk,2990,2778,69,64,107622
"D0831",City of Palmdale,3642,2291,60,38,158968
"D0831",City of Palos Verdes Estates,87,643,2,15,13522
"D0831",City of Paramount,2223,3968,26,46,56023
"D0831",City of Pico Rivera,2217,3449,68,106,64284
"D0831",City of Pomona,5003,3208,104,67,155931
"D0831",City of Rancho Palos Verdes,270,632,13,30,42747
"D0831",City of Redondo Beach,513,747,9,13,68697
"D0831",City of Rolling Hills,8,412,0,0,1940
"D0831",City of Rolling Hills Estates,39,481,2,25,8113
"D0831",City of Rosemead,762,1377,24,43,55350
"D0831",City of San Dimas,476,1379,14,41,34516
"D0831",City of San Fernando,816,3315,18,73,24612
"D0831",City of San Gabriel,580,1416,48,117,40954
"D0831",City of San Marino,78,587,2,15,13277
"D0831",City of Santa Clarita,3013,1367,43,20,220424
"D0831",City of Santa Fe Springs,507,2761,5,27,18364
