date,name,Cases,Case Rate,Deaths,Death Rate,population
"DNANA",City of Agoura Hills,6299,30163,26,125,20883
"DNANA",City of Alhambra,25171,29024,294,339,86724
"DNANA",City of Arcadia,13436,23264,211,365,57754
"DNANA",City of Artesia,5942,35380,94,560,16795
"DNANA",City of Avalon,287,7418,3,78,3869
"DNANA",City of Azusa,17390,34752,172,344,50040
"DNANA",City of Baldwin Park,29414,38315,415,541,76769
"DNANA",City of Bell,16891,46491,155,427,36332
"DNANA",City of Bell Gardens,17026,39530,150,348,43071
"DNANA",City of Bellflower,30489,39222,297,382,77735
"DNANA",City of Beverly Hills,11441,33143,55,159,34520
"DNANA",City of Bradbury,71,6642,0,0,1069
"DNANA",City of Burbank,32471,30296,367,342,107180
"DNANA",City of Calabasas,5769,23718,46,189,24323
"DNANA",City of Carson,34585,36853,356,379,93846
"DNANA",City of Cerritos,13151,26267,99,198,50067
"DNANA",City of Claremont,10230,28040,110,302,36484
"DNANA",City of Commerce,5813,44479,55,421,13069
"DNANA",City of Compton,39908,39946,343,343,99904
"DNANA",City of Covina,20031,40853,248,506,49032
"DNANA",City of Cudahy,12150,49903,92,378,24347
"DNANA",City of Culver City,11697,29342,159,399,39865
"DNANA",City of Diamond Bar,13470,23420,122,212,57515
"DNANA",City of Downey,46368,40580,427,374,114263
"DNANA",City of Duarte,7399,33607,130,590,22016
"DNANA",City of El Monte,42385,36143,591,504,117269
"DNANA",City of El Segundo,4021,23954,19,113,16786
"DNANA",City of Gardena,21663,35334,287,468,61310
"DNANA",City of Glendale,59682,28903,1006,487,206493
"DNANA",City of Glendora,14876,28193,229,434,52764
"DNANA",City of Hawaiian Gardens,4961,33803,35,238,14676
"DNANA",City of Hawthorne,29296,32996,291,328,88787
"DNANA",City of Hermosa Beach,4674,23762,17,86,19670
"DNANA",City of Hidden Hills,380,20106,2,106,1890
"DNANA",City of Huntington Park,26174,44002,229,385,59484
"DNANA",City of Industry,996,227918,7,1602,437
"DNANA",City of Inglewood,38356,33769,426,375,113582
"DNANA",City of Irwindale,878,60178,13,891,1459
"DNANA",City of La Canada Flintridge,4493,21713,27,130,20693
"DNANA",City of La Habra Heights,210,3850,2,37,5455
"DNANA",City of La Mirada,14078,28384,209,421,49599
"DNANA",City of La Puente,15894,39054,171,420,40697
"DNANA",City of La Verne,9164,27534,92,276,33282
"DNANA",City of Lakewood,26722,33252,186,231,80362
"DNANA",City of Lancaster,63559,39338,491,304,161570
"DNANA",City of Lawndale,10493,31216,78,232,33614
"DNANA",City of Lomita,6000,28945,66,318,20729
"DNANA",City of Lynwood,30955,42965,322,447,72047
"DNANA",City of Malibu,2848,21974,14,108,12961
"DNANA",City of Manhattan Beach,7352,20423,33,92,35999
"DNANA",City of Maywood,12737,45410,113,403,28049
"DNANA",City of Monrovia,11748,30278,121,312,38800
"DNANA",City of Montebello,25235,39200,316,491,64375
"DNANA",City of Monterey Park,17292,27773,288,463,62262
"DNANA",City of Norwalk,42574,39559,533,495,107622
"DNANA",City of Palmdale,66407,41774,486,306,158968
"DNANA",City of Palos Verdes Estates,2236,16536,15,111,13522
"DNANA",City of Paramount,22540,40233,218,389,56023
"DNANA",City of Pico Rivera,27853,43328,361,562,64284
"DNANA",City of Pomona,64985,41675,635,407,155931
"DNANA",City of Rancho Palos Verdes,7626,17840,92,215,42747
"DNANA",City of Redondo Beach,15367,22369,85,124,68697
"DNANA",City of Rolling Hills,293,15103,3,155,1940
"DNANA",City of Rolling Hills Estates,1512,18637,11,136,8113
"DNANA",City of Rosemead,15088,27259,214,387,55350
"DNANA",City of San Dimas,11011,31901,148,429,34516
"DNANA",City of San Fernando,12703,51613,85,345,24612
"DNANA",City of San Gabriel,11303,27599,279,681,40954
"DNANA",City of San Marino,2375,17888,17,128,13277
"DNANA",City of Santa Clarita,72758,33008,446,202,220424
"DNANA",City of Santa Fe Springs,7812,42540,63,343,18364
"DNANA",City of Santa Monica,26110,28244,295,319,92446
"DNANA",City of Sierra Madre,2370,21567,26,237,10989
"DNANA",City of Signal Hill,4051,34339,20,170,11797
"DNANA",City of South El Monte,8357,40014,92,441,20885
"DNANA",City of South Gate,46908,47790,344,350,98155
"DNANA",City of South Pasadena,6251,23993,68,261,26053
"DNANA",City of Temple City,10590,29050,180,494,36455
"DNANA",City of Torrance,33908,22716,359,241,149268
"DNANA",City of Vernon,357,170813,0,0,209
"DNANA",City of Walnut,7474,24479,58,190,30532
"DNANA",City of West Covina,39163,36183,408,377,108235
"DNANA",City of West Hollywood,11175,30243,65,176,36951
"DNANA",City of Westlake Village,443,5299,3,36,8360
"DNANA",City of Whittier,31049,35512,372,425,87432
"DNANA",Los Angeles,1514956,37456,14017,347
"DNANA",Los Angeles - Adams-Normandie,3179,38759,20,244,8202
"DNANA",Los Angeles - Alsace,4476,35966,24,193,12445
