OBJECTID,Geo_ID,Geo_Type,Geo_Name,Geo_Short_Name,Suppressed,Shape__Area,Shape__Length,Label
1,csa_city_alhambra,Incorporated City,City of Alhambra,Alhambra,0,212764011.276367,69016.5015221541,Alhambra
2,csa_city_arcadia,Incorporated City,City of Arcadia,Arcadia,0,309696288.938477,132149.401562509,Arcadia
3,csa_city_azusa,Incorporated City,City of Azusa,Azusa,0,269205013.03125,158881.601593077,Azusa
4,csa_city_baldwin_park,Incorporated City,City of Baldwin Park,Baldwin Park,0,188966247.648438,87241.4327414296,Baldwin Park
5,csa_city_bell,Incorporated City,City of Bell,Bell,0,72979028.1533203,65552.3887578528,Bell
6,csa_city_bell_gardens,Incorporated City,City of Bell Gardens,Bell Gardens,0,68721941.4697266,38937.4207874779,Bell Gardens
7,csa_city_bellflower,Incorporated City,City of Bellflower,Bellflower,0,172370845.865234,59306.6452245536,Bellflower
8,csa_city_beverly_hills,Incorporated City,City of Beverly Hills,Beverly Hills,0,159282318.755859,86925.7745809393,Beverly Hills
9,csa_city_burbank,Incorporated City,City of Burbank,Burbank,0,483502845.646484,102151.39667723,Burbank
10,csa_city_calabasas,Incorporated City,City of Calabasas,Calabasas,0,383613659.699219,149118.592947431,Calabasas
11,csa_city_carson,Incorporated City,City of Carson,Carson,0,528030737.777344,127677.51129757,Carson
12,csa_city_cerritos,Incorporated City,City of Cerritos,Cerritos,0,246787948.419922,119808.868298614,Cerritos
13,csa_city_claremont,Incorporated City,City of Claremont,Claremont,0,375456745.78418,150112.204271249,Claremont
14,csa_city_compton,Incorporated City,City of Compton,Compton,0,281590253.833984,178008.102450657,Compton
15,csa_city_covina,Incorporated City,City of Covina,Covina,0,196344691.882813,186251.134749508,Covina
16,csa_city_cudahy,Incorporated City,City of Cudahy,Cudahy,0,34266752.8085938,33729.8352374175,Cudahy
17,csa_city_culver_city,Incorporated City,City of Culver City,Culver City,0,143147615.004883,116908.970645141,Culver City
18,csa_city_downey,Incorporated City,City of Downey,Downey,0,350371541.479492,90498.3366118423,Downey
19,csa_city_duarte,Incorporated City,City of Duarte,Duarte,0,186485252.126953,111724.016609402,Duarte
20,csa_city_el_monte,Incorporated City,City of El Monte,El Monte,0,268040254.837891,106711.549443552,El Monte
21,csa_city_gardena,Incorporated City,City of Gardena,Gardena,0,163264681.769531,65932.3950959737,Gardena
22,csa_city_glendale,Incorporated City,City of Glendale,Glendale,0,853230755.385742,190271.343931609,Glendale
23,csa_city_glendora,Incorporated City,City of Glendora,Glendora,0,547642777.478516,165505.670654358,Glendora
24,csa_city_hawthorne,Incorporated City,City of Hawthorne,Hawthorne,0,169585593.317383,110192.664599746,Hawthorne
25,csa_city_huntington_park,Incorporated City,City of Huntington Park,Huntington Park,0,84042752.6230469,66385.7853215658,Huntington Park
26,csa_city_inglewood,Incorporated City,City of Inglewood,Inglewood,0,253622393.695313,90355.3942257997,Inglewood
27,csa_city_la_mirada,Incorporated City,City of La Mirada,La Mirada,0,218800624.400391,79833.8296120329,La Mirada
28,csa_city_la_puente,Incorporated City,City of La Puente,La Puente,0,96842502.2919922,86971.3574392473,La Puente
29,csa_city_la_verne,Incorporated City,City of La Verne,La Verne,0,237606827.314453,115480.591496628,La Verne
30,csa_city_lakewood,Incorporated City,City of Lakewood,Lakewood,0,263528890.157227,124207.331738586,Lakewood
31,csa_city_lancaster,Incorporated City,City of Lancaster,Lancaster,0,2635029511.77344,678436.664903309,Lancaster
32,csa_city_lawndale,Incorporated City,City of Lawndale,Lawndale,0,54863707.0722656,36899.7304205015,Lawndale
33,csa_city_lomita,Incorporated City,City of Lomita,Lomita,0,53484538.828125,44939.4236054767,Lomita
34,csa_city_long_beach,Incorporated City,City of Long Beach,Long Beach,1,1443459669.63477,554574.211561497,Long Beach
35,csa_city_lynwood,Incorporated City,City of Lynwood,Lynwood,0,135007235.452148,72152.7827898819,Lynwood
